City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ayorou,14.7308,0.9174,34.1,7,18,4.68,NE,1704814969
1,avarua,-21.2078,-159.775,25.03,83,75,3.09,CK,1704814969
2,vysokaya gora,55.9128,49.3017,-14.14,97,92,3.32,RU,1704814970
3,zunyi,27.6867,106.9072,9.51,84,76,1.13,CN,1704814723
4,west island,-12.1568,96.8225,27.99,83,75,5.14,CC,1704814975
5,manokwari,-0.8667,134.0833,26.07,83,97,2.44,ID,1704814975
6,horta,38.5333,-28.6333,17.8,87,75,12.96,PT,1704814976
7,byron bay,-28.65,153.6167,23.17,92,84,4.09,AU,1704814976
8,bethel,41.3712,-73.414,4.2,79,20,2.06,US,1704814976
9,jinchang,38.4953,102.1739,-0.7,23,0,1.62,CN,1704814976
10,port-aux-francais,-49.35,70.2167,4.01,73,54,8.61,TF,1704814977
11,bardai,11.65,7.2333,31.36,5,1,4.51,NG,1704814978
12,aasiaat,68.7098,-52.8699,-12.43,95,100,4.51,GL,1704814978
13,ilulissat,69.2167,-51.1,-6.99,73,75,4.12,GL,1704814978
14,ulladulla,-35.35,150.4667,18.24,93,64,1.51,AU,1704814979
15,isafjordur,66.0755,-23.124,9.02,76,75,6.17,IS,1704814979
16,adamstown,-25.066,-130.1015,23.72,90,95,3.71,PN,1704814979
17,constitucion,-35.3333,-72.4167,19.89,53,45,6.1,CL,1704814979
18,yellowknife,62.456,-114.3525,-35.88,79,0,3.09,CA,1704814980
19,bredasdorp,-34.5322,20.0403,20.82,72,100,6.89,ZA,1704814980
20,grytviken,-54.2811,-36.5092,5.94,90,100,3.09,GS,1704814980
21,benguela,-12.5763,13.4055,27.37,67,77,1.17,AO,1704814981
22,magadan,59.5667,150.8,-22.45,83,100,2.42,RU,1704814981
23,edinburgh of the seven seas,-37.0676,-12.3116,18.36,98,99,8.32,SH,1704814981
24,albany,42.6001,-73.9662,1.96,90,100,3.56,US,1704814974
25,punta arenas,-53.15,-70.9167,9.01,57,40,12.86,CL,1704814851
26,port alfred,-33.5906,26.891,22.88,87,83,1.79,ZA,1704814982
27,papatowai,-46.5619,169.4708,12.02,94,100,6.86,NZ,1704814982
28,badger,64.8,-147.5333,-12.86,78,75,1.54,US,1704814983
29,crane,31.3974,-102.3501,3.62,38,0,4.93,US,1704814969
30,kone,-21.0595,164.8658,23.75,90,8,1.2,NC,1704814983
31,priozersk,61.0393,30.1291,1.7,92,100,5.22,RU,1704814984
32,wailua homesteads,22.0669,-159.378,20.44,78,0,2.06,US,1704814984
33,puerto natales,-51.7236,-72.4875,6.25,75,75,9.26,CL,1704814984
34,ust-nera,64.5667,143.2,-43.87,99,95,1.74,RU,1704814984
35,east london,-33.0153,27.9116,23.52,83,75,5.66,ZA,1704814985
36,taroa,8.7058,171.2275,26.93,69,95,9.63,MH,1704814985
37,bucerias,20.75,-105.3333,23.32,88,75,1.54,MX,1704814934
38,hailey,43.5196,-114.3153,-5.67,88,100,0.45,US,1704814916
39,hermanus,-34.4187,19.2345,20.66,76,100,8.52,ZA,1704814990
40,stanley,54.868,-1.6985,3.07,78,15,2.86,GB,1704814826
41,utrik,11.2278,169.8474,26.77,74,98,9.66,MH,1704814991
42,sa dec,10.3,105.7667,25.99,90,56,3.06,VN,1704814991
43,milove,49.3787,40.1302,-12.34,92,91,5.16,UA,1704814992
44,rantauprapat,2.1,99.8333,24.0,98,100,0.98,ID,1704814992
45,talnakh,69.4865,88.3972,-17.11,82,100,1.58,RU,1704814992
46,vilhena,-12.7406,-60.1458,22.12,88,75,3.09,BR,1704814949
47,clarence-rockland,45.5501,-75.291,-3.66,92,100,6.07,CA,1704814993
48,el tigre,8.8875,-64.2454,31.65,45,96,5.79,VE,1704814993
49,konarka,19.9,86.1167,21.22,58,19,2.62,IN,1704814993
50,dudinka,69.4058,86.1778,-16.88,80,100,3.58,RU,1704814994
51,evanston,42.0411,-87.6901,2.84,86,100,5.66,US,1704814781
52,shingu,33.7333,135.9833,4.44,65,4,2.12,JP,1704814994
53,waitangi,-43.9535,-176.5597,12.12,85,99,1.79,NZ,1704814994
54,ushuaia,-54.8,-68.3,6.81,70,75,12.35,AR,1704814995
55,qaqortoq,60.7167,-46.0333,3.42,76,84,4.25,GL,1704814995
56,tazovsky,67.4667,78.7,-18.73,97,100,4.32,RU,1704814995
57,bestobe,52.4994,73.0975,-17.87,87,100,3.25,KZ,1704814996
58,januaria,-15.4833,-44.3667,29.59,63,92,1.17,BR,1704814996
59,kodiak,57.79,-152.4072,0.73,60,0,4.12,US,1704814996
60,thompson,55.7435,-97.8558,-36.91,67,20,1.54,CA,1704814997
61,valley city,46.9233,-98.0032,-15.71,100,0,0.0,US,1704814997
62,beyneu,45.3167,55.2,4.1,78,100,5.43,KZ,1704814997
63,siteki,-26.45,31.95,26.9,58,59,5.08,SZ,1704814998
64,fale old settlement,-9.3852,-171.2468,29.3,72,26,5.0,TK,1704814998
65,lincoln city,44.9582,-124.0179,9.09,89,100,16.09,US,1704814824
66,ribeira grande,38.5167,-28.7,18.22,82,75,12.96,PT,1704814998
67,mar del plata,-38.0023,-57.5575,28.07,54,0,7.15,AR,1704814999
68,vernal,40.4555,-109.5287,-9.64,71,0,0.0,US,1704814942
69,vorgashor,67.5833,63.95,-25.36,99,100,1.99,RU,1704814999
70,luderitz,-26.6481,15.1594,21.33,68,18,10.8,NA,1704814999
71,lerwick,60.1545,-1.1494,6.0,70,100,3.76,GB,1704815000
72,remire-montjoly,4.9167,-52.2667,29.02,79,75,8.75,GF,1704815000
73,lompoc,34.6391,-120.4579,9.4,71,0,3.58,US,1704815000
74,georgetown,5.4112,100.3354,26.96,86,20,1.54,MY,1704815001
75,olonkinbyen,70.9221,-8.7187,1.91,87,27,9.18,SJ,1704815001
76,vilyuysk,63.7553,121.6247,-43.33,100,93,0.89,RU,1704815001
77,blackmans bay,-43.0167,147.3167,13.62,90,100,2.36,AU,1704815001
